Week,Combined_Raw_Text
Week 24,"It is not everyone that has to be a fashion icon🤣🤣🤣. Please shift. chale introverts we're really suffering in this school o😹 we've reached THAT point in the semester....nothing is funny again please can we restart the semester, I made a mistake somewhere😭 on friday let’s all just go and sit at the archer cornfield and protest how they are treating us  I legit can't take this anymore. I told myself I wouldn't cry this sem. I've cried like 3 times this week alone, and we just got back from the easter holidays too.... I HATE LEADERSHIP SEMINAR WITH A PASSION !! Can we petition about the rage room pleaseee??! Omo the academic weapon has become an academic victim. this GPA dier hm God hold me abeg, I'm going to faint, what's all this 😭 Umm one quiz made me move from a B to a D? Unless I nail this exam because it’s looking like my only comeback  School is really affecting my head chale. Scholarship student but the evidence isn’t showing I’m a scholar.💔 Exam pressure aside, I don't remember the last time AFA posted something about the Ashesi Women Football league. Is AFA for men only now? What at all is going on on this hill kraa 😂😂 You people are stressing out Dean Abdul o 😭 But knife parhn 😭. Someone said Ashesi Zorro😭🤣 These AJC cases are actually getting out of hand 🤣"
Week 25,"Is Big Ben interested in running a cafeteria business on campus or this is all a little side quest/ side hustle for them?????? SMH 🤦🏾‍♀️.  I'm really fighting for my life over here, God abeg. Do I have assignment deadlines approaching in a few days? yes
Have I started doing the work? no
Will I finish and submit before the deadline? yes 😭
 My blood pressure keeps rising every minute. Exam season in this school is literally the worst😂 So because of a half credit course I can't have peace of mind, ei Herh, Munchies has become really stingy with the food  Why them shun dey share free food???"
Week 26,"All my problems started when i started Pre-calculus 😔😔 Finally the semester is over, I'm wayyy behind on sleep😭 Next sem academic weapon fr fr This school was after my life but ohhh, I serve a living God!. Thank you Jesus for a successful semester😩 This sem the wicked men were too many. The word I’ve used the most was “Ei” because EI Let me break it to you, all of you in relationships or talking stages with ashesi boys, they  are cheating on you. Take it from me  Next semester is reshuffling time! So let’s get ready to exchange our s/o🤣 The way you are wicked, aren’t you afraid that someone will curse you Ashesi must be the only place where cheating is more serious than sexual assault. This is insane honestly  A rapist with several victims and his punishment is suspension for 4 semesters but someone cheats in one exam and they get expelled? Ashesi University do better. You can't get up and preach ethics and then punish rapists less than they deserve. Disgusting. Oh, right, because apparently, using someone else's meal plan is the ultimate crime worthy of expulsion, while, you know, sexual assault and social misconduct only get you a slap on the wrist with a few semesters of suspension.  The ink should speak up on what is right. Someone got a sexual misconduct case and was guilty but no explusion?
FUCK ASHESI. SAY NO TO SEXUAL MISCONDUCT  Fuck KKT, FUCK ASHESI, FUCK THE BOARD.  The ink needs to come out and say something about this case. You're supposed to represent our actual thoughts. Someone was guilty of sexual misconduct. I beg you guys to get justice  Please also show this to a sexual misconduct staff that Mr. F in 2025 is a creep and an abuser.
I'll drop all the names of girl if I have to. Just get justice. It’s during Sexual Assault Awareness and Prevention Month too that a sexual misconduct case gets that kind of a decision. Vim wai.  A place that talks about the honor code but someone who sexually assaults another only gets suspended🙄🙄 #makeitmakesense can you people like shut up?
it’s an academic institution not a social institution 
of course cheating is going to get a serious punishment ffs
it can really happen to anyone tsw I made it through another semester Hurray 🥳🥳🥳🥳.It was not  easy ,l almost gave up but God gave me strength🙏🙏. 
At the end of this semester l realized time management and a time table or schedule is very very important. 
#lesson learnt 😌😌
 Finally finally  ,the first car of this accelerated semesters has stopped  
Wonder what the speed of the second car will be 😱
What ever be the case we for make am 😎😎😎👊 I’m crushing on Nicole Chantal Opeku. She’s the prize forreal. Salma c27 is so hot... please look at me 🥺... you're always in your head Gideon Colombiana 25 you’re cute  Amaliah (2027) I have a huge crush on you ,you’re soo pretty but I’m shy to talk to you ,next sem I’ll get the courage  I think you're cute but you have an avoidant attachment style. Tsw. I know you(2027) and your boyfriend recently broke up…I’m here for emotional and physical support  I like this girl in 26 but she's taken so I'm waiting for it to cast then I'll step in Someone should confess their love for me erhn🙏🏾😭 I love Nathanael(the dark one🫠) from C’27😍😍😍 Joanna C'27 , I love u ! Senanu C’26 next year you’d me mine ,last sem i was too shy Shoutout to them AJC cases. Good entertainment💀 So proud of you Salma c27 ❤️ Alvin c25. You're the man 🙌🙌🙌 Salma gives the best hugs, trust me 😏 Salma 27, I'm sorry. Please talk to me. 

-- please post this so she sees Elikem, why did you cut your hair?!!"
Week 27,"I’m with this girl but I want her  roomate  Are you even suppose to be told to clean before you do? Are you blind ? Freda Marie ‘25 is the SWEETEST GIRL EVER😭🫶🏽. I love you girlllll🥹❤️ bruh the roommate thing is actually so frustrating. y'all tell us to tolerate the Nigeriens but they're so inconsiderate and LOUD. stuff was never getting stolen from the fridge in my hostel before they came but if I say it I'd be the one who has an issue with them.  Are lecturers in for our good? Cuz rn, they’re becoming a hindrance to even getting a B+. Just look at the microeconomics email I received this morning. Tswww I will not allow this school to make me mad!! Statistics is a someway course o ei 😂 I am very grateful to Joana (2025). Even with your own busy schedule, you sacrificed and made time for me. 
Thank you, I couldn’t have done Pre-calc without you.  This course registration on CAMU is pissing me off. Been locked down at home for 3 days of my vacation. But I WILL NOT HAVE 8AM They need to set aside like 2 days after every semester, where lecturers and students can fight school can honestly finish itself ✋🏽 cause I’m done 🚶🏽 So the accelerated semester CAST!? The C28s are coming NEXT YEAR January 😭 OMO so my summer was just taken away from me like that 💀 Love Yourz - J Cole  In Love by Aaron May
Helped me get over a crush Fragrance by Esther Oji 
 She's mine p2 Jermaine
 Flows part 2 sheff g The dune 2 soundtrack Simple things - Teddy Swims❤️ A song that got me through the semester — Michael Bublé, Feeling Good. 

Good for studying at the library when you're trying to revive your grades. Dark academia type beat. Still here - Sia. That lady told me that despite everything , I’m enough.  Always remember us this way by Lady gaga 😘😚I have a crush on this guy but it's better that way😭😭 Fountain baby
 Wait on you by Maverick City and Elevation Worship Givin’ Up (Not the One)
by 2 Chainz, 21 Savage, and Don Toliver
 Overcomer by Mandisa
Hallelujah by Lydia Laird
Temporary home by Carie Underwood 
Too Faithful by Moses Bliss 
Waging war by Cece Winans
Even if by Mercy me 
😊💖 Emperor of the Universe by Dunsin Oyekan and Theophilus Sunday  Magnetic- ILLIT Heartless' by The Weeknd, 'Tasty' by DaniLeigh, '5X' by Don Toliver, 'Used' by SZA and Don Toliver and finally, 'Redbone' by Childish Gambino...god tier music 🤤 Find My Peace - Naomi Raine! fruit & sun - ford. Yeshua -Annatoria My Daddy My Daddy - Sunmisola Heaven on earth -Sinmidele  Hypé❣️Aya Nakamura ft Ayra Starr Hypé by Aya Nakamura👑 Came too Far by Friday"
Week 28,"Lovely Day, Lean on Me-Bill Withers NO ONE ELSE - LoveWorld Singers CEYC
I wonder - Kanye West, 
Feel it - d4vd, 
Best Part of Life - Saint Jhn,  A whole friend group of grown ass women fighting a small child because of a man who doesn’t like either of us?😭😭🤣 oh ✨️women✨️ Like love’s last call,
I’d wish to dance with her at a ball,
At the glamour of her looks,
Our hearts would form bonds through hooks,

Watching her slip into another’s arms,
Finding him hospitable like yams in barns,
Except with every other girl I’m empty,
And with her, my heart is left dirty

With puzzle pieces left of my soul,
Part of which she stole,
In this livid world I crawl
Seeking peace from the last brawl.

Finally I found my rest like a token
But, she knocked back and I opened
Like fireflies she lit my heart up,
Now it’s burnt again  I’M DONE WITH THIS SCHOOL! I’M DONE WITH THIS SCHOOL! I’M DONE WITH THIS SCHOOL! Ashesi please why are you doing this to me? If he doesn't like me like that, he should honestly just leave me alone.  The school pretends to care about us and claim to address our issues but come to town hall meetings to tell us why they can’t do anything about the issue. Tswww HERRRRHHHHH AWINGOT!!!!!😭😭😭😭 Ngl. It still hurts that they brought Kidi. Agyeman '27 can't wait to see you this sem😭 Let's all pretend the accelerated semester wasn't a bad decision by the school admin I think the level of depression in this semester should make everyone fast and pray"
Week 29,"Father God, as we start this semester, help me to be present for, punctual to and awake throughout every class. Help me to be diligent in my studies. Above all, help me to use my time wisely. In Jesus' name. Amen. Ei Big Ben…these abele cups de33😭 Can we talk about the recent lecturer changes? It's kinda frustrating when we sign up for a class with a specific lecturer only to end up with someone completely different. Please o, if the government has reverted the 2028’s coming back in January , why are we still doing accelerated semester please?  I miss you Fadda 🤎,An’2* for the love of humanity, MOISTURIZE YOUR FEET! it's too early in the semester to be this ashy. Amaliah you are sooo gorgeous herh! This school will not kill me this sem 😭 Finally it’s Friday, thank you Jesus😭🥹 Well, the brain is not braining…The school ahhhhh🥹👀 Masa I’m tired. This sem dierrr my gpa should be able to afford two bottles of water from munchies  😭😭so we aren’t halfway through the semester??? Ei so the Bush Canteen was it a one-semester stand or what😭 Please for some of us it was our lifeline oh, we beg😭😭😭 Ah Big Ben what kind of abele cup is that? ""How do we tell the ocean that we are drowning on land"""
Week 30,"I can endure many things, but never the humbling experience of falling on campus. I pray against that everyday. Day 1 without the gym. I miss the cool metal feel of a Barbell and the post gym aches :( All the academic readings are boring and long. Someone go tell the lecturers. Xoxo Being in the same class sith an ex crush... falling in love through muscle memory  The girl with black braids and a stunning smile won't save you. Go and read for AI Eiii mechanics😭 If you were planning on falling in love this semester, don’t do it, i repeat abort mission‼️ Big big adults pushing against a glass without using the actual handle will never sit right with me ...lots of intelligent students do not make it to the Dean's list, quite sad. I am overwhelmed. Too much social interaction - the struggles of an introvert"
Week 31,"Just taking time to thank all the people who put effort in being nice to others. I have not had the best week but some people were really so niceee to me. Sending lovee 🤧🤧❤️❤️ Can we get a summary of what was said at the town hall? Ashesi is just another high school. Which one too is town hall meeting 🤣🤣. It was good that we could share our concerns hopefully we see them being addressed as soon as possible  Just found out that there’s a book launch happening on campus soon. So excited! Shout out to the writer Kwaku Osafo! 🥳 27s get a cake for what was once considered the bare minimum? honestly, i’d like to congratulate the 26s for shaking the way the school views themselves Why are we still in school rn? Cos I thought it was cos the 2028 will come in September but now they’re coming in January? Town hall might as well have been a zoom meeting or an email.no reason otherwise Interview Nathaniel Ameveji C'2027 please... 3rd eye security 😭 Interview me Pfungwa 2026
Coach Evonne 
 Princess Asiru-Balogun,  CS 2025 Dr. Edgar Cooke, I want to see something 😃 Please interview the bald guy who wears the vest and is always angry for some reason😭 Please get him I beg🙏🏾 we need to know his struggles and why everyone is his opp WOFA, Class of 2024 you HAVE to interview Kofi Adu-Labi❗❗❗❗❗❗❗❗❗🔥🔥🔥🔥🔥🔥"
Week 32,"Help me tell thus girl that I'm not making all this time for because I wanna be ""just friends"" shoutout to whoever runs the fairstores snap account. you’re so helpful what’s with akornor and big ben not providing extra protein? something needs to be done about this.  ...shoutout to all football players who put effort into their academics, may we all be great :). Please who do you people find love in this school cause eih😭 Light skin Angel 24” 😮‍💨😮‍💨 Every Ashesi girl looks the same. It's always the tote bag, butterfly braids/french curls, lipgloss combo. No originality smh Are there any single boys left in this our Ashesi that are not Adwaman?! This to fadda fuck youuu.I hate you soo muchhhhh.Guess you know who it is  ...when you're unhappy in this school, just go to the pitch and watch Legends :))) ...in this school, you don't work hard but smart (take note).  3am: fast asleep 
8am: 🫷😐"" ID! "" Dear neighbors, we do not want to hear your entire playlist at 02 am in the morning. We want to sleep! Why would you watch TV at night on full volume when people are trying to sleep, some of you people are very inconsiderate. Someone get these cats ID cards or get them out of here please Fun was havedddd, it’s a pity only a few students attended , but nevertheless we had fun, we want more of these.  If I hear 'Cast' by Shallipopi at any event again, I think I'm gonna end it . How many times are we gonna play this song?! 😭 “Anonymous” forms on the hill are not! Some people are so mean! I don’t get how a person can wake up early in the morning and choose to be mean the whole day! This is why we all need Jesus😩! It was funny seeing some individuals ignored and made others feel invisible in school and I thought it was just because we were kids😂! But years after, they’re still the same people! If you do this, with your right arm on your chest followed by a deep breath, repeat after me: “SHAME ON ME!” Now, get off your high horse and be NICE, you’re not that age anymore!"
Week 33,"40 cedis for breakfast ?? Eii
Damn I am really poor  June is men’s mental health month but no one is talk about it. The double standards 😑 The rigging for the photography event was crazy. Like it actually shocked me. Those judges must be audited Proud of myself for leaving his childish ass I recently read a Bridgerton book about the duke overcoming his stutter by staying calm and thinking before speaking. As an impulsive person, I tried his strategy for my quizzes and did really well this week. I'm looking forward to more success. Cheers to aces! 🥂 Not texting my ex even thought I wanted to The judge of the photography event that asked Maisy to wear a shorter skirt if she was referencing femininity needs to explain himself further.  Proud of myself for keeping my sanity despite the crazy week I had  1NRI releasing fire fits this, we love to see it  I've given up on trying to find love on this hill😭 p.s this is my second semester What are y'all feeding that cat? It's getting thick Sometimes you just gotta put on some billie and have a good cry in your room😭 Honestly, I still go through our old chats and notes to remember how happy we were, or at least how I thought we were then push forth with the day!"
Week 34,"How can we care about our mental health when we endure mental stress from this school to the extreme? We just pray, exercise and meuve wai. Affirmations really help me. 
Also spending time with people I love and telling them how much I love them. 
And just making time for me to do me things Futsal with the boys >>> I watch my comfort show (girlfriends... its really good) when I'm stressed I lowkey really miss Ashesi succes I really don't know how people survive in this school without the Holy Ghost ei! It has been God throughout😊 The scripture that says ""By my God I leap over a wall"". Indeed, by my God I leap over these assignments and quizzes cors ei🫠 It’s a shame how Ashesi is all for “inclusivity” with all the women empowerment and opportunity emails, yet I didn’t see a single email on Men’s mental health month, June  “a little birdie been tweeting about Empower Her’s second bridgerton👀” Why will you decide to come and sit directly under the AC in a class that has countless empty seats and then you increase the temperature of the AC because YOU are feeling cold?? MY FRIEND??? She calls me daddy
Happy fathers day to me  Niggas who wear hoodies to a classroom but still turn up the AC. You deserve to burn in hell. "
Week 35,"So everytime something has to go wrong at the gym?? Tired of those emails fr This accelerated semester thing has really done a number on me. I’m not even playing.I used to be so happy 😭 Nooo why can’t I stop thinking about this boy, I can’t even focus on my studies 😭 This man makes me sooo happy. The happiest I’ve been in a while🥹 Hm it is well o, God will see us through in this Ashesi The English version:
Aaaarrrrhhh
Libido's trapped me again.
Tight top, big boobs
Horniness is calling me to her
And I feel like obeying
But that's silly and impossible
Silly because 
Libido's a drunk fool 
That breaks the neck 
Of rational prudence,
And impossible because
Even if I want
I can't get:
Shyness dries up my fuel of courage
No girl probably wants 
Me to enter their tunnel
And that's great
Cos libido and sex are drunken fools!
But
But
Le plaisir erotique* 
Sa motivation puissante* 
L'éspèrance de la grande joie* 
Nothing as engaging as it
This tug of war
Bewteen prudence and overflowing pleasure
Will only end when
I grow into Pope Francis' weathered body
Unfortunately.
Oi I see another girl with
Tits as big as a cow's own
The tug of war resumes
Oh here I go again

The French version:
Ohhhhhhhhhh
Le libido, il m'a piègé encore.
Chemise petite, des grandes seins
Le dèsir erotique m'appelle à elle
Et je suis incliné de l'obèir
Mais c'est bête et impossible
Bête parce que
Le libido, c'est un bête ivre
Ce qui casse le cou 
De la prudence rationelle,
Et impossible car
Même si je veux
Je peux pas obtenir :
La timidité séche mon essence du courage
Aucun fille me veut probablement
D'entrer son tunnel
Et c'est super
Car le libido et la sexe sont bêtes ivres !
Mais
Mais
Erotic pleasure*
Its powerful motivation*
Hope of great joy*
Rien aussi engagante que ça
Ce tir à la corde
Entre la prudence et la plaisir surécoulant
Terminera seulement quand
Je grandirai au corps patiné de Pape Francis
Malheureusement.
Hein je vis une autre fille avec des
Seins aussi grandes que ceux d'une vache
Le tir à la corde continue
Ah allons-y encore

* - the marked line must be italicised
 your friends could actually ditch you because they have found the love of their life, sucks These emails about the gym, at this rate they will start informing us about who just entered and left the gym. I just want to go home please.  In fact I just want to finish this school Ah so the people in relationships do they know that they are cheating on them 🤣🤚🏾 Ashesi boys will kill me lmao 🤣  What is the highest elevation on campus? We were once very close friends, he came around and now everything is messed up with her. SUCH IS LIFE My boy is even too busy to hang out,me sef I’m too busy 😔✋🏾 I have midsem tomorrow buhhh the amount of breaks I’m having is way more than my total revision period! Can I just get the degree now, (like in honor of my perseverance😭) Midsem sha! The only thing that has managed to take my mind off that guy! By the time I finish writing my papers, the crush will have vanished😭 Hmm ,bare minimum kraa enfa ooo So why would go to study areas like the library and databank 218 to make noise when it is meant for quiet studies??!!!!!!!! zero pressure, but the fact that I have zero pressure means my calculations are wrong since SLE is talking about CONSENT, let me just say it is not the case that if i’m wearing grey sweats, then proudly look (or touch)🙂 Shutouts to Akosua and Aseye!!! Idk how else 'we' could have survived Leadership II and Principles of Economics without you.  stressful week but i saw my crush today and suddenly life is worth living again  Chale I begggg😔 What happened to Ashesi D:Lab, please? I miss Hackathons 😥😥 honestly we need the opposite of caught being good for some people. some caught being bad...cause it's not even funny You guys should actually watch some of the 27s play Futsal, pure entertainment and talent What are these noises always from rooms in New Mas? Some of these caretakers in the off campus hostels should actually watch themselves  This FI Michael for Calculus is so proper  Isn't that smell in Akornor annoying? Big Ben Jollof actually goes too hard It’s interesting how Ashesi boys think it is so chill and nice to tell girls to smile I just need one very long hug.  That Big Ben Jollof person is lying😭 This academic weapon is going blunt😔 What kind of bipolar weather is this? Room inspections? Are we in Senior High School? Why am I just hearing Bend it Bend it from the first floor of New Hosanna? Running in the rain while holding an umbrella is crazy. Have you no steeze? Ashesi 2025 boys why? Like why?? Have you not done enough??🤧 Something was bothering me. Then I took a nap and now I can't remember. 
Naps>>> These dogs that roam on the road to the hostel late at night, they are so SCARY I’m glad we did not work out. Goodluck to them you’ll look for me in every girl and you won’t find me 27 boys are attractive 😍  Chale Dufie ants are too many ,th⁉️⁉️ Why are the women at Big Ben so moody?  I know we all wanna be academic weapons this semester but please and please again, don't attach your self-worth to your grades. Trust me, you really don't want to learn this the hard way 🥲. A 'D' doesn't mean your life has ended. Strive for good grades but don't let it define how you think about yourself. The division in this school is so clear, but they make it look like we’re all equal. ( I hope you post this😭😭). I can’t count the number of times I’ve been made so uncomfortable.  The way some people have been treating me, I can’t wait to go home and block them all😂! It’s okay, I’ll take your crap for now because this is not my country anyway! Every day, I can’t believe you guys are the adults in this country, let alone this school!!  I dislike the way Big ben is nonchalant.  Seems like the owners might be millionaires  Contrary to popular belief, people don’t mind their business. Is it your life? Mind your business, please😒 Please stop taking videos of people taking free food. We won't come again ah😭 Everyone is in a relationship eiii😂 Most of you guys are engaged in pseudo productivity. What is it that you’re reading up to 3 am, then you sleep the entire day in class🚮 Exams are stupid, there are better ways of testing students knowledge  I’m scared It seems like our Ashesi boys just wanna tap that, nothing much nothing less, must be nice. Hope is all I had, it was snatched and destroyed. I’ve got nothing now but the tears that blur my vision of her. Big Ben’s new shito… is better than Akornor’s 🏃‍➡️🏃‍➡️🏃‍➡️ No because, why are you - a fresher - leaving your heart in the hands of a C’25 boy. Do we need to tell you??? I don’t know why people think when you approach them you want to date them lol, as for the division it’s everywhere, not just this school  Heavy on the ‘being made uncomfortable’.
Because we all know in our hearts that it won’t last. Tell me why you’re playing with my mental health in my own room🙄
You two should just get a room. So you didn’t know he was following you to your room🙄
He magically appeared and bit your neck? Berekuso Dracula. Serial entrepreneur. Jumping Jack. I’ll end it here  Nothing is ever that serious. Except for the liberal arts courses. Don’t joke with them 🚶‍➡️ Is the accelerated year even legal cause they working us like slaves  Those asking for hugs and things should relax,  you're probably the most hostile and unapproachable people and you want love You this girl in old mas,I miss you let’s get back together chale the streets are not for us "
